ID	gene_name	Systematic ID	gRNA_cluster_order1	Source	time_points	Status	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	AIC	BIC	R2	RMSE	normalized_RMSE	M_G0Tet	M_YES1_Tet	M_YES2_Tet	M_YES3_Tet	M_YES4_Tet	M_YES5_Tet	M_G0Tet_fitted	M_YES1_Tet_fitted	M_YES2_Tet_fitted	M_YES3_Tet_fitted	M_YES4_Tet_fitted	M_YES5_Tet_fitted	M_G0Tet_residual	M_YES1_Tet_residual	M_YES2_Tet_residual	M_YES3_Tet_residual	M_YES4_Tet_residual	M_YES5_Tet_residual	gRNA_cluster_order1
SPAC23H4.06_122	gln1	SPAC23H4.06	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.481	1.183	1.287	2.138	8.29	17.943	15.806	6.412	6.063	131.524	0.197	-0.428	0.985766	0.617	0.044205	0.0	3.558	6.321	9.727	13.947	13.947	0.5	3.021	6.541	10.311	12.884	14.418	-0.5	0.537	-0.22	-0.584	1.063	-0.471	7
SPBC582.07c_65	rpn7	SPBC582.07c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	10.376	1.075	0.951	1.54	5.804	12.496	10.956	4.503	3.817	106.457	-10.775	-11.4	0.99541	0.247	0.025064	0.0	3.244	5.847	8.625	9.842	9.859	0.297	2.965	6.16	8.53	9.604	10.049	-0.297	0.279	-0.313	0.095	0.238	-0.19	5
SPCC1259.01c_45	rps1802	SPCC1259.01c	4	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	6.561	0.929	0.315	0.746	3.866	8.76	8.014	2.913	2.414	80.645	-11.026	-11.651	0.989338	0.242	0.037082	0.0	3.429	4.863	6.325	6.516	6.526	0.305	3.137	5.251	6.189	6.454	6.529	-0.305	0.292	-0.388	0.136	0.062	-0.003	4
SPAC3F10.03_110	grs1	SPAC3F10.03	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.878	1.241	0.29	0.973	5.911	13.659	12.686	4.403	5.105	140.015	-3.541	-4.165	0.9906	0.452	0.033448	0.0	4.75	8.029	10.377	12.462	13.5	0.751	4.24	7.957	10.929	12.469	13.201	-0.751	0.51	0.072	-0.552	-0.007	0.299	8
SPAC4F8.12c_439	spp42	SPAC4F8.12c	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	15.348	1.031	0.785	1.694	8.266	18.578	16.884	6.26	5.646	123.156	-4.408	-5.032	0.99185	0.42	0.03083	0.0	3.331	6.611	9.207	11.396	13.626	0.666	3.113	6.219	9.509	11.812	13.238	-0.666	0.218	0.392	-0.302	-0.416	0.388	7
SPAC26A3.12c_163	dhp1	SPAC26A3.12c	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.348	1.226	0.357	1.022	5.828	13.371	12.349	4.361	4.911	135.849	-1.243	-1.868	0.985424	0.547	0.042997	0.0	4.553	7.914	9.766	12.675	12.718	0.683	4.107	7.766	10.634	12.082	12.753	-0.683	0.446	0.148	-0.868	0.593	-0.035	8
SPAC23C4.18c_152	rad4	SPAC23C4.18c	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.667	1.145	0.856	1.638	7.296	16.175	14.538	5.569	5.396	129.385	-1.53	-2.155	0.987424	0.534	0.040832	0.0	3.7	6.902	9.423	13.011	13.076	0.563	3.32	6.808	10.161	12.224	13.354	-0.563	0.38	0.094	-0.738	0.787	-0.278	7
SPAC4G9.08c_153	rpc2	SPAC4G9.08c	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.242	1.258	0.551	1.242	6.242	14.087	12.845	4.715	5.239	139.367	-5.889	-6.513	0.993968	0.371	0.027545	0.0	4.482	7.621	10.66	12.869	13.48	0.64	3.979	7.786	10.958	12.649	13.467	-0.64	0.503	-0.165	-0.298	0.22	0.013	8
SPBC25B2.09c_21	mrs1	SPBC25B2.09c	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.848	1.274	0.348	1.059	6.208	14.287	13.227	4.636	5.462	145.566	2.121	1.496	0.978795	0.724	0.050904	0.0	4.963	8.019	10.504	14.219	13.651	0.779	4.284	8.136	11.363	13.118	13.987	-0.779	0.679	-0.117	-0.859	1.101	-0.336	8
SPBC146.05c_60	cwf25	SPBC146.05c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	9.662	1.508	1.081	1.472	4.302	8.743	7.271	3.438	3.554	115.23	-2.874	-3.498	0.982191	0.477	0.048032	0.0	4.108	7.151	9.802	9.938	8.905	0.131	3.953	7.611	9.148	9.533	9.627	-0.131	0.155	-0.46	0.654	0.405	-0.722	5
