systematic_id,gene_name,verification_phenotype,verification_essentiality,round_gene_num,comments,total_colonies,filtered_count,filtering_fraction,deletion_with_area_count,deletion_without_area_count,deletion_with_area_fraction,median_area_day3,median_area_day4,median_area_day5,median_area_day6,mean_area_day3,mean_area_day4,mean_area_day5,mean_area_day6
SPAC17H9.03c,rdl1,WT,V,17th_round_236,,48.0,44.0,0.92,22.0,0.0,1.0,0.955,0.962,0.954,0.954,0.968,0.978,0.992,1.0
SPAC17H9.10c,ddb1,small colonies,V,16th_round_209,,48.0,44.0,0.92,21.0,1.0,0.95,0.235,0.355,0.419,0.456,0.241,0.348,0.385,0.396
SPAC17H9.13c,pro2,small colonies,V,17th_round_237,,96.0,76.0,0.79,35.0,3.0,0.92,0.529,0.44,0.374,0.33,0.532,0.465,0.382,0.34
SPAC1805.06c,hem2,E,E,3rd_round_58,,,,,,,,,,,,,,,
SPAC1805.11c,rps2602,small colonies,V,3rd_round_59,,96.0,56.0,0.58,24.0,4.0,0.86,0.0,0.021,0.069,0.108,0.019,0.02,0.059,0.089
SPAC1805.13,rpl14,E,E,1st_round_1,,,,,,,,,,,,,,,
SPAC1834.11c,sec18,E,E,22th_round_438,,,,,,,,,,,,,,,
SPAC18B11.11,SPAC18B11.11,small colonies,V,16th_round_218,,96.0,80.0,0.83,39.0,1.0,0.97,0.4,0.499,0.527,0.559,0.424,0.498,0.554,0.587
SPAC1952.05,gcn5,small colonies,V,3rd_round_60,,96.0,92.0,0.96,45.0,1.0,0.98,0.673,0.683,0.704,0.7,0.665,0.691,0.711,0.722
SPAC19A8.03,ymr1,WT,V,17th_round_238,,96.0,96.0,1.0,48.0,0.0,1.0,0.94,0.974,0.955,0.989,0.945,0.949,0.976,1.011
SPAC19B12.03,bgs3,E,E,16th_round_193,,,,,,,,,,,,,,,
SPAC1A6.06c,meu31,WT,V,17th_round_239,,96.0,92.0,0.96,44.0,2.0,0.96,1.011,0.986,0.949,0.918,0.911,0.92,0.926,0.924
SPAC1B2.03c,elo2,E,E,14th_round_171,,,,,,,,,,,,,,,
SPAC1F3.07c,rsc58,small colonies,V,17th_round_240,17th_round_240_#1: 克隆可见但转印后长的不错;17th_round_240_#2: 克隆可见但转印后长的不错,96.0,68.0,0.71,29.0,5.0,0.85,0.098,0.102,0.143,0.162,0.093,0.096,0.13,0.153
SPAC1F3.10c,oct1,small colonies,V,3rd_round_61,,96.0,96.0,1.0,48.0,0.0,1.0,0.103,0.157,0.163,0.153,0.097,0.156,0.167,0.166
SPAC1F5.10,fal1,small colonies,V,22th_round_395,,52.0,52.0,1.0,25.0,1.0,0.96,0.0,,,0.065,0.0,,,0.071
SPAC1F5.11c,tra2,E,E,22th_round_410,,,,,,,,,,,,,,,
SPAC1F7.01c,spt6,very small colonies,V,3rd_round_62,3rd_round_62_#1: 克隆部分轻微可见;3rd_round_62_#2: 克隆部分轻微可见,96.0,84.0,0.88,16.0,26.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003
SPAC1F7.02c,has1,E,E,22th_round_429,,,,,,,,,,,,,,,
SPAC1F7.04,rho1,E,E,3rd_round_63,,,,,,,,,,,,,,,
SPAC20G8.07c,erg2,small colonies,V,3rd_round_64,,48.0,40.0,0.83,17.0,3.0,0.85,0.403,0.467,0.461,0.43,0.35,0.41,0.417,0.405
SPAC20G8.09c,nat10,E,E,22th_round_443,,,,,,,,,,,,,,,
SPAC20H4.07,rad57,small colonies,V,17th_round_241,,96.0,92.0,0.96,46.0,0.0,1.0,0.268,0.399,0.435,0.433,0.261,0.398,0.428,0.452
